Time_ns,PC1,PC2,PC3,Cluster,RMSD_A,NativeQ,Rg_A
33.2,0.0480,0.2693,-0.1290,3,2.3450,0.5029,6.8265
33.3,0.2221,0.4627,-0.2115,3,2.7698,0.4977,6.7883
33.4,-0.1380,0.1623,-0.0142,3,2.0985,0.5062,6.8543
33.5,-0.4000,-0.2315,0.0378,0,2.5975,0.5137,6.6951
33.6,-0.2040,-0.0593,0.1463,0,2.3916,0.5020,6.8291
33.7,-0.3812,-0.3297,0.0533,0,2.7249,0.5095,6.6896
33.8,-0.4083,-0.2767,0.0356,0,2.8026,0.5014,6.7441
33.9,-0.2780,-0.0837,-0.1157,0,2.4638,0.5093,6.7186
34.0,-0.3570,-0.1802,-0.0205,0,2.3938,0.5068,6.7435
34.1,-0.3358,-0.3180,-0.1617,0,2.8838,0.5114,6.5221
34.2,-0.1757,-0.0323,-0.1096,0,2.3791,0.5015,6.8783
34.3,-0.3487,-0.1020,0.0156,0,2.1067,0.5181,6.7901
34.4,-0.1655,0.1292,-0.0292,0,2.0396,0.5006,6.9645
34.5,-0.1908,-0.0372,0.0124,0,2.2704,0.5133,6.8719
34.6,-0.2765,-0.1801,0.1344,0,2.4804,0.5142,6.6496
34.7,-0.2725,-0.0733,-0.1292,0,2.5159,0.5016,6.8439
34.8,-0.3504,-0.2010,-0.0891,0,2.5467,0.5112,6.7369
34.9,-0.1164,0.1775,-0.0159,3,2.1129,0.5068,7.0027
35.0,-0.0347,0.0891,0.0258,3,2.3831,0.4971,6.9069
35.1,-0.3047,-0.1413,0.0155,0,2.4725,0.5064,6.7358
35.2,-0.1314,0.1058,0.0595,0,2.1622,0.5020,6.8682
35.3,-0.0950,0.1635,0.1736,3,2.2028,0.5114,6.8244
35.4,-0.1339,0.1334,0.0436,3,2.1700,0.5077,6.9070
35.5,-0.1804,0.1483,0.1381,0,2.1285,0.5074,6.8384
35.6,-0.1799,0.1255,-0.0406,0,2.1876,0.5113,6.7483
35.7,-0.1148,0.1322,0.0354,3,1.9410,0.4942,7.1098
35.8,-0.1365,0.1093,0.1159,0,2.0803,0.5065,6.9287
35.9,-0.0495,0.2108,0.0150,3,2.0727,0.5050,7.0080
36.0,-0.0816,0.1089,-0.1821,3,2.3952,0.5009,6.9966
36.1,0.3206,0.5198,0.0494,3,2.3773,0.4894,7.1212
36.2,0.0279,0.2366,-0.0702,3,2.0361,0.4963,7.1015
36.3,0.0482,0.2213,-0.2474,3,2.5027,0.5047,6.8359
36.4,0.0008,0.2006,-0.2445,3,2.3011,0.4926,7.0219
36.5,0.0883,0.3261,-0.2081,3,2.2753,0.4954,7.0515
36.6,0.0362,0.1822,-0.2868,3,2.3167,0.5106,6.7835
36.7,-0.0568,0.1940,-0.2210,3,2.3629,0.4982,7.0032
36.8,0.0179,0.2945,-0.3314,3,2.4508,0.5040,6.8669
36.9,-0.1942,0.1356,-0.1165,0,2.1142,0.5130,6.8772
37.0,-0.0369,0.2349,0.0569,3,2.0554,0.5016,7.0025
